datetime,city,state,number,country,shape,duration(seconds),duration(hours/min),comments,dateposted,latitude,longitude
09/09/1984 22:00,California (Entire West Coast),CA,1,United States,Cigar,30,hours,Lots Of &Quot;Them &Quot;Are Already Here&#44I Saw So.       None Below Apply&#44Was Very Clear Shape&#44Orange/Red&#44In Space,1/19/2005,36.778261,-119.417932
11/09/1984 04:00,Brandon (Outside Jackson),MS,1,United States,Cylinder,300,1-5 minutes,I Lived In Crossgates On The North End Of The Lake  I Woke Up Suddenly&#44 Got Up Out Of Bed And Looked Out The Glass Doors. Just Above Tr,2/27/2000,32.2730556,-89.9858333
02/10/1984 22:00,Marlow,NH,1,United States,Fireball,45,30 - 45 seconds,Orange Fireball With Strange Movement,08/07/2007,43.1158333,-72.1975
06/10/1984 22:00,Clayton,OH,1,United States,Disk,25200,7 hours,Saw 2 Ufo&#39S&#44Lost 6 Hours Time.,11/20/2002,39.8630556,-84.3605556
07/10/1984 03:30,Blairstown,MO,1,United States,Light,1800,30 min.,Round Neon Light Blue Ball Passing East To West Across The Sky.,2/18/2001,38.5558333,-93.9605556
07/10/1984 04:00,Lake Skinner,CA,1,Canada,Light,5,5 seconds,A Bright Blue Glowing Orb That Shot Out Of Space Made A 90 Degree Turn Shot Accross A Mountain Range Then Another 90,05/11/2005,33.591111,-117.073889
07/10/1984 22:30,New Pine Creek,CA,1,Canada,Light,3600,1 hour + ???,White Light Moving W To E  To Big Dipper. Hung There Until It Disappeared,3/19/2009,41.9927778,-120.2961111
08/10/1984 04:30,Bellingham,WA,1,United States,Unknown,20,20 seconds,Sphere? With Connected Orbiting Strobe Which Changed Colors. No Sound,10/15/2002,48.7597222,-122.4869444
08/10/1984 07:00,Dorintosh (Canada),SK,1,Canada,Sphere,1200,20 minutes,Observed Crop Circles While Being Made........,02/12/2004,54.355278,-108.628333
08/10/1984 23:00,Boalsburg,PA,1,United States,Light,45,45 sec,Saw A Bright Light Dart Across The Sky.,10/15/2003,40.7755556,-77.7927778
10/10/1984 05:00,Houston,TX,1,United States,Circle,60,1 minute,2 Experience With Unkown,4/18/2012,29.7630556,-95.3630556
10/10/1984 12:00,Traverse City,MI,1,United States,Other,120,couple minutes,Translucent Football Seen Over City Airport,10/07/2003,44.7630556,-85.6205556
10/10/1984 22:00,White Plains,NY,1,United States,Formation,20,15-20 seconds,Saw A Hugh Object In Sky With Lights Intermittently Placed Not Making Any Noise Traveling North In The Night Sky.It Had No Real Identif,08/10/1999,41.0338889,-73.7633333
04/11/1984 02:00,Monahans,TX,1,United States,Unknown,3600,1 hour,Strange Lightning,10/30/2006,31.5941667,-102.8922222
11/11/1984 23:00,Edgartown,MA,1,United States,Triangle,600,10 minutes,My Fiance And I&#44 Both Artist&#44 Were Getting Married August 12&#44 1984 And Spending Our Honeymoon On Martha&#39S Vineyard.  About 11:00 The Ni,5/15/2006,41.3888889,-70.5138889
08/12/1984 21:00,Columbus,OH,1,United States,Rectangle,900,10-15 minutes,Football Field Sized Gunmetal Gray Rectangular Craft With Bright Lights And &Quot;Windows&Quot; Hovering Silently 100 Ft Or So Above Parking Lot,8/24/2010,39.9611111,-82.9988889
